,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
11648,gas_tax,"I-69 is hot topic as folks speak out: Concerns about adding roadway, losing jobs get spotlight",,"Indianapolis Star; Indianapolis, Ind.","Jan 25, 2004","Indianapolis, Ind.",,FOCUS,https://www.proquest.com/newspapers/i-69-is-hot-topic-as-folks-speak-out/docview/240636231/se-2?accountid=13360,IN
11675,gas_tax,Voice of the People,,"South Bend Tribune; South Bend, Ind.","Apr 13, 2004","South Bend, Ind.",,Nation,https://www.proquest.com/newspapers/voice-people/docview/417271081/se-2?accountid=13360,IN
11791,gas_tax,Letters to the Editor: Gas price solutions are simple changes,,"Journal & Courier; Lafayette, Ind.","Jul 2, 2008","Lafayette, Ind.",,OPINIONS,https://www.proquest.com/newspapers/letters-editor/docview/383208526/se-2?accountid=13360,IN
11823,gas_tax,Highway spending bill is good for Indiana,,"Indianapolis Star; Indianapolis, Ind.","Feb 18, 2004","Indianapolis, Ind.",,EDITORIAL,https://www.proquest.com/newspapers/highway-spending-bill-is-good-indiana/docview/240656130/se-2?accountid=13360,IN
11918,gas_tax,"Leave the driving to us, please",,"Indianapolis Star; Indianapolis, Ind.","May 21, 2009","Indianapolis, Ind.",,Editorial,https://www.proquest.com/newspapers/leave-driving-us-please/docview/241019820/se-2?accountid=13360,IN
11939,gas_tax,"Congress to tackle highways, education","Davis, Susan","Journal & Courier; Lafayette, Ind.","Jul 5, 2015","Lafayette, Ind.",3,B,https://www.proquest.com/newspapers/congress-tackle-highways-education/docview/1693521835/se-2?accountid=13360,IN
12007,gas_tax,"Congress to tackle highways, education","Davis, Susan","Indianapolis Star; Indianapolis, Ind.","Jul 5, 2015","Indianapolis, Ind.",3,B,https://www.proquest.com/newspapers/congress-tackle-highways-education/docview/1693522819/se-2?accountid=13360,IN
12113,gas_tax,GM eyes fuel economy with $49M upgrade,"Evanoff, Ted","Indianapolis Star; Indianapolis, Ind.","Jun 9, 2011","Indianapolis, Ind.",,BUSINESS,https://www.proquest.com/newspapers/gm-eyes-fuel-economy-with-49m-upgrade/docview/871014902/se-2?accountid=13360,IN
12144,gas_tax,"Cultural Trail could set new course: The city is considering a $15 million to $20 million walking, skating and biking path of a dimension unparalleled in the United States","Kightlinger, Cathy","Indianapolis Star; Indianapolis, Ind.","May 19, 2003","Indianapolis, Ind.",,NEWS,https://www.proquest.com/newspapers/cultural-trail-could-set-new-course/docview/240598163/se-2?accountid=13360,IN
12298,gas_tax,Bill Watch,,"Indianapolis Star; Indianapolis, Ind.","Feb 6, 2002","Indianapolis, Ind.",,CITY STATE,https://www.proquest.com/newspapers/bill-watch/docview/240474087/se-2?accountid=13360,IN
