,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
2848,cap_and_trade,Mainers press Sen. Collins on emissions: The EPA proposal is the Obama administration's most aggressive plan to regulate power plants.,"Miller, Kevin","Portland Press Herald; Portland, Me.","Sep 6, 2014","Portland, Me.",B.2,,https://www.proquest.com/newspapers/mainers-press-sen-collins-on-emissions/docview/1560326836/se-2?accountid=13360,ME
2876,cap_and_trade,Clean Power Plan a step toward sunshine for Maine's economy,,"Morning Sentinel; Waterville, Me.","Aug 30, 2015","Waterville, Me.",1.A,,https://www.proquest.com/newspapers/clean-power-plan-step-toward-sunshine-maines/docview/1708040944/se-2?accountid=13360,ME
2921,cap_and_trade,EPA's mercury proposal raises ire in Mainers ; Residents warn of the harmful effects of mercury pollution at a hearing held to protest the softening of federal emissions rules.: [Final Edition],MEREDITH GOAD Staff Writer,"Portland Press Herald; Portland, Me.","Mar 2, 2004","Portland, Me.",,Local & State,https://www.proquest.com/newspapers/epas-mercury-proposal-raises-ire-mainers/docview/277236730/se-2?accountid=13360,ME
2935,cap_and_trade,Climate debate on high heat: [FINAL Edition],Bart Jansen Washington D.C. correspondent,"Portland Press Herald; Portland, Me.","Apr 29, 2007","Portland, Me.",,Insight,https://www.proquest.com/newspapers/climate-debate-on-high-heat/docview/277266057/se-2?accountid=13360,ME
3003,cap_and_trade,Collins' support sought on emissions cuts,"Miller, Kevin","Kennebec Journal; Augusta, Me.","Sep 7, 2014","Augusta, Me.",2.B,,https://www.proquest.com/newspapers/collins-support-sought-on-emissions-cuts/docview/1560420401/se-2?accountid=13360,ME
3027,cap_and_trade,Warm welcome for weatherization funds: More than $6 million will help low-income Mainers button up their houses for winter.,Anonymous,"Portland Press Herald; Portland, Me.","Oct 30, 2008","Portland, Me.",A.1,Front,https://www.proquest.com/newspapers/warm-welcome-weatherization-funds/docview/277347731/se-2?accountid=13360,ME
3059,cap_and_trade,"Mercury rules meet resistance ; The approach aims to cut emissions by two-thirds in 15 years, but officials say it won't do much for Maine.: [Final Edition]",GREGORY D. KESICH Staff Writer,"Portland Press Herald; Portland, Me.","Mar 16, 2005","Portland, Me.",,FRONT,https://www.proquest.com/newspapers/mercury-rules-meet-resistance-approach-aims-cut/docview/277195767/se-2?accountid=13360,ME
3345,cap_and_trade,Students hear different take on global warming,"Hickey, Colin","Morning Sentinel; Waterville, Me.","Apr 25, 2007","Waterville, Me.",1A,Local & State,https://www.proquest.com/newspapers/students-hear-different-take-on-global-warming/docview/381688465/se-2?accountid=13360,ME
3405,cap_and_trade,The EPA sidestepped Congress with carbon emissions rule? What hot air,,"Bangor Daily News; Bangor, Me.","Jun 8, 2014","Bangor, Me.",,,https://www.proquest.com/newspapers/epa-sidestepped-congress-with-carbon-emissions/docview/1533987489/se-2?accountid=13360,ME
3473,cap_and_trade,FOR SUNDAY POST The EPA sidestepped Congress with carbon emissions rule? What hot air,,"Bangor Daily News; Bangor, Me.","Jun 6, 2014","Bangor, Me.",,,https://www.proquest.com/newspapers/sunday-post-epa-sidestepped-congress-with-carbon/docview/1533846884/se-2?accountid=13360,ME
