,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
1648,cap_and_trade,"Senate candidates go left, right, center on issues:: Democratic hopefuls for Byrd's Senate seat speak on mountaintop mining, health care","Rivard, R Y","Charleston Daily Mail; Charleston, W.V.","Aug 11, 2010","Charleston, W.Va.",A.1,News,https://www.proquest.com/newspapers/senate-candidates-go-left-right-center-on-issues/docview/744212064/se-2?accountid=13360,WV
1699,cap_and_trade,Pogo's thoughts on health,"Felsen, James D","The Charleston Gazette; Charleston, W.V.","Sep 24, 2009","Charleston, W.Va.",A.4,Editorial,https://www.proquest.com/newspapers/pogos-thoughts-on-health/docview/331661382/se-2?accountid=13360,WV
1702,cap_and_trade,"Manchin to meet with Obama, Biden:: Governor will join representatives from 10 other states to discuss issues related to coal","Hohmann, George","Charleston Daily Mail; Charleston, W.V.","Feb 3, 2010","Charleston, W.Va.",A.5,News,https://www.proquest.com/newspapers/manchin-meet-with-obama-biden/docview/332224059/se-2?accountid=13360,WV
1707,cap_and_trade,"Two leaders, worlds apart","Rubin, Trudy","Charleston Gazette - Mail; Charleston, W.V.","Sep 30, 2015","Charleston, W.Va.",A.4,,https://www.proquest.com/newspapers/two-leaders-worlds-apart/docview/1717575595/se-2?accountid=13360,WV
1775,cap_and_trade,Miners in Washington:: Dig Coal; Boisterous crowds primed for pro-coal speakers at rally,"HAFENBRACK, JOSH","Charleston Daily Mail; Charleston, W.V.","Sep 16, 2010","Charleston, W.Va.",A.1,News,https://www.proquest.com/newspapers/miners-washington/docview/751010782/se-2?accountid=13360,WV
1807,cap_and_trade,Market can stem global warming,"Wohl, Isaac","Sunday Gazette - Mail; Charleston, W.V.","Dec 30, 2007","Charleston, W.Va.",,Editorial,https://www.proquest.com/newspapers/market-can-stem-global-warming/docview/332546382/se-2?accountid=13360,WV
1834,cap_and_trade,Evangelical groups joining fight against global warming,"Cooper, Jonathan J","The Charleston Gazette; Charleston, W.V.","May 9, 2008","Charleston, W.Va.",C.2,News,https://www.proquest.com/newspapers/evangelical-groups-joining-fight-against-global/docview/331564426/se-2?accountid=13360,WV
1916,cap_and_trade,"Manchin calls for energy balance:: Governor acknowledged coal has contributed to pollution, says solution is finding value in waste","Saxton, Michelle","Charleston Daily Mail; Charleston, W.V.","Sep 22, 2009","Charleston, W.Va.",A.1,News,https://www.proquest.com/newspapers/manchin-calls-energy-balance/docview/332236552/se-2?accountid=13360,WV
1982,cap_and_trade,Another pro-coal group enters the mix,"Saxton, Michelle","Charleston Daily Mail; Charleston, W.V.","Aug 20, 2009","Charleston, W.Va.",A.1,News,https://www.proquest.com/newspapers/another-pro-coal-group-enters-mix/docview/332235488/se-2?accountid=13360,WV
2212,cap_and_trade,Leaders want two-year break from EPA:: W.Va. lawmakers' proposal would temporarily limit agency's emissions crackdown,"Rivard, R Y","Charleston Daily Mail; Charleston, W.V.","Mar 5, 2010","Charleston, W.Va.",A.1,News,https://www.proquest.com/newspapers/leaders-want-two-year-break-epa/docview/332100736/se-2?accountid=13360,WV
2213,cap_and_trade,Mollohan blames GOP for 'smear campaign',"Smith, Vicki","Sunday Gazette - Mail; Charleston, W.V.","Apr 25, 2010","Charleston, W.Va.",B.6,News,https://www.proquest.com/newspapers/mollohan-blames-gop-smear-campaign/docview/89221544/se-2?accountid=13360,WV
2245,cap_and_trade,EPA's mercury allowance is a joke,"Ivins, Molly","The Charleston Gazette; Charleston, W.V.","Mar 29, 2005","Charleston, W.Va.",,Editorial,https://www.proquest.com/newspapers/epas-mercury-allowance-is-joke/docview/331329465/se-2?accountid=13360,WV
2334,cap_and_trade,"Energy, Promise laws take effect",Anonymous,"The Charleston Gazette; Charleston, W.V.","Jul 1, 2009","Charleston, W.Va.",A.3,News,https://www.proquest.com/newspapers/energy-promise-laws-take-effect/docview/331654165/se-2?accountid=13360,WV
