,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
6727,carbon_tax,Local delegation sticks to party ties: [Capital-Journal Edition],"Atkins, Taylor","Topeka Capital Journal; Topeka, Kan.","Feb 20, 2008","Topeka, Kan.",,1A,https://www.proquest.com/newspapers/local-delegation-sticks-party-ties/docview/405769731/se-2?accountid=13360,KS
6796,carbon_tax,LETTERS,,"Topeka Capital Journal; Topeka, Kan.","Jun 5, 2013","Topeka, Kan.",A.4,News,https://www.proquest.com/newspapers/letters/docview/1370734034/se-2?accountid=13360,KS
6798,carbon_tax,House passes coal plant bill,Anonymous,"Daily Journal World; Lawrence, Kan.","Feb 19, 2008","Lawrence, Kan.",,,https://www.proquest.com/newspapers/house-passes-coal-plant-bill/docview/238756941/se-2?accountid=13360,KS
6808,carbon_tax,Bill hinges on House vote: [Capital-Journal Edition],"Carlson, James","Topeka Capital Journal; Topeka, Kan.","Feb 18, 2008","Topeka, Kan.",,1A,https://www.proquest.com/newspapers/bill-hinges-on-house-vote/docview/405770443/se-2?accountid=13360,KS
6815,carbon_tax,Bill hinges on House vote: [Second Edition],"Carlson, James","Topeka Capital Journal; Topeka, Kan.","Feb 18, 2008","Topeka, Kan.",,1A,https://www.proquest.com/newspapers/bill-hinges-on-house-vote/docview/405765913/se-2?accountid=13360,KS
6825,carbon_tax,Energy emotions heat up: [Capital-Journal Edition],James Carlson and Tim Carpenter,"Topeka Capital Journal; Topeka, Kan.","Feb 8, 2008","Topeka, Kan.",,1A,https://www.proquest.com/newspapers/energy-emotions-heat-up/docview/405767759/se-2?accountid=13360,KS
6853,carbon_tax,Energy emotions heat up: [Second Edition],James Carlson and Tim Carpenter,"Topeka Capital Journal; Topeka, Kan.","Feb 8, 2008","Topeka, Kan.",,1A,https://www.proquest.com/newspapers/energy-emotions-heat-up/docview/405764122/se-2?accountid=13360,KS
6944,carbon_tax,No fooling Mother Nature,"Friedman, Thomas","The Hutchinson News; Hutchinson, Kan","May 9, 2010","Hutchinson, Kan.",,,https://www.proquest.com/newspapers/no-fooling-mother-nature/docview/251782064/se-2?accountid=13360,KS
7319,carbon_tax,LETTERS,,"Topeka Capital Journal; Topeka, Kan.","Apr 22, 2013","Topeka, Kan.",A.4,News,https://www.proquest.com/newspapers/letters/docview/1365198655/se-2?accountid=13360,KS
7361,carbon_tax,Letter: Energy truths,"Meyer, Ken","Daily Journal World; Lawrence, Kan.","Feb 17, 2014","Lawrence, Kan.",,,https://www.proquest.com/newspapers/letter-energy-truths/docview/1498747497/se-2?accountid=13360,KS
7364,carbon_tax,Critic: Energy moving too fast: [Capital-Journal Edition],"Carlson, James","Topeka Capital Journal; Topeka, Kan.","Feb 7, 2008","Topeka, Kan.",,1A,https://www.proquest.com/newspapers/critic-energy-moving-too-fast/docview/405769191/se-2?accountid=13360,KS
7428,carbon_tax,House rejects carbon emissions tax,"Carlson, James","Topeka Capital Journal; Topeka, Kan.","Apr 2, 2008","Topeka, Kan.",1,BUSINESS,https://www.proquest.com/newspapers/house-rejects-carbon-emissions-tax/docview/405777554/se-2?accountid=13360,KS
7452,carbon_tax,Map shows opinions on climate: Climate: Survey shows most believe in change,"Hart, Megan","Topeka Capital Journal; Topeka, Kan.","Apr 14, 2015","Topeka, Kan.",A.1,News,https://www.proquest.com/newspapers/map-shows-opinions-on-climate/docview/1672771676/se-2?accountid=13360,KS
7465,carbon_tax,Critic: Energy moving too fast: [Second Edition],"Carlson, James","Topeka Capital Journal; Topeka, Kan.","Feb 7, 2008","Topeka, Kan.",,1A,https://www.proquest.com/newspapers/critic-energy-moving-too-fast/docview/405769932/se-2?accountid=13360,KS
7573,carbon_tax,Salina delegation stays firm on coal,"Schrag, Duane","The Salina Journal; Salina, Kan.","Mar 23, 2008","Salina, Kan.",A.5,Local News,https://www.proquest.com/newspapers/salina-delegation-stays-firm-on-coal/docview/381185991/se-2?accountid=13360,KS
7613,carbon_tax,Our epic foolishness,"Herbert, Bob","The Hutchinson News; Hutchinson, Kan","Jun 3, 2010","Hutchinson, Kan.",,,https://www.proquest.com/newspapers/our-epic-foolishness/docview/356919328/se-2?accountid=13360,KS
7661,carbon_tax,Kansas group appointed to look at climate change,"Rothschild, Scott","Daily Journal World; Lawrence, Kan.","May 10, 2008","Lawrence, Kan.",,,https://www.proquest.com/newspapers/kansas-group-appointed-look-at-climate-change/docview/238793840/se-2?accountid=13360,KS
7892,carbon_tax,Sebelius critical of coal-fired power plant bill,"Kessinger, Sarah","The Salina Journal; Salina, Kan.","Feb 1, 2008","Salina, Kan.",A.1,Local News,https://www.proquest.com/newspapers/sebelius-critical-coal-fired-power-plant-bill/docview/381186060/se-2?accountid=13360,KS
