,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL
58,Conflicted on climate change law; Legislators weigh costs against health benefits in poor areas that often bear the brunt of pollution.,"Mason, Melanie; Megerian, Chris","Los Angeles Times; Los Angeles, Calif.","Sep 8, 2015","Los Angeles, Calif.",NA,Main News; Part A; Metro Desk,https://www.proquest.com/newspapers/conflicted-on-climate-change-law-legislators/docview/1709935081/se-2?accountid=13360
59,"Climate change hears a cattle call; At TomKat Ranch, a billionaire plots to upend agribusiness as usual","Halper, Evan","Los Angeles Times; Los Angeles, Calif.","Oct 3, 2015","Los Angeles, Calif.",NA,Main News; Part A; National Desk,https://www.proquest.com/newspapers/climate-change-hears-cattle-call-at-tomkat-ranch/docview/1718563168/se-2?accountid=13360
60,Batteries: The next frontier; Innovation is speeding up as the technology is increasingly seen as key to the fight against climate change.,NA,"Los Angeles Times; Los Angeles, Calif.","Nov 27, 2015","Los Angeles, Calif.",NA,Business; Part C; Business Desk,https://www.proquest.com/newspapers/batteries-next-frontier-innovation-is-speeding-up/docview/1736613264/se-2?accountid=13360
61,U.N. CLIMATE CHANGE SUMMIT; Setting the pace; Brown and his predecessor put a bipartisan spin on a fight they share,"Megerian, Chris","Los Angeles Times; Los Angeles, Calif.","Dec 7, 2015","Los Angeles, Calif.",NA,California; Part B; Metro Desk,https://www.proquest.com/newspapers/u-n-climate-change-summit-setting-pace-brown-his/docview/1744604808/se-2?accountid=13360
62,State investigates Exxon Mobil on climate change; Kamala Harris wants to know whether the oil company lied to investors about risks.,"Penn, Ivan","Los Angeles Times; Los Angeles, Calif.","Jan 20, 2016","Los Angeles, Calif.",NA,Main News; Part A; Business Desk,https://www.proquest.com/newspapers/state-investigates-exxon-mobil-on-climate-change/docview/1758057423/se-2?accountid=13360
63,THE OSCARS / THE ACTORS; Tying work to a greater cause; Leonardo DiCaprio discusses climate change from the stage after winning for 'Revenant.',"Brown, August; King, Susan","Los Angeles Times; Los Angeles, Calif.","Feb 29, 2016","Los Angeles, Calif.",NA,Special Section; Part U; Entertainment Desk,https://www.proquest.com/newspapers/oscars-actors-tying-work-greater-cause-leonardo/docview/1768522164/se-2?accountid=13360
64,CalPERS nudges energy companies; The pension fund calls on Exxon and Chevron to disclose the financial risks of climate change.,"Shalev, Asaf","Los Angeles Times; Los Angeles, Calif.","Apr 13, 2016","Los Angeles, Calif.",NA,Business; Part C; Business Desk,https://www.proquest.com/newspapers/calpers-nudges-energy-companies-pension-fund/docview/1780423556/se-2?accountid=13360
65,"THE NATION; Delegates in place, Trump rejects climate change pact","Finnegan, Michael","Los Angeles Times; Los Angeles, Calif.","May 27, 2016","Los Angeles, Calif.",NA,Main News; Part A; National Desk,https://www.proquest.com/newspapers/nation-delegates-place-trump-rejects-climate/docview/1791545915/se-2?accountid=13360
66,"CLIMATE CHANGE; A new push to revive state's cap-and-trade; With a key legislative debate looming, governor's panel issues a plan to bolster and extend the emissions program.","Dillon, Liam","Los Angeles Times; Los Angeles, Calif.","Jul 14, 2016","Los Angeles, Calif.",NA,California; Part B; Local Desk,https://www.proquest.com/newspapers/climate-change-new-push-revive-states-cap-trade/docview/1803670576/se-2?accountid=13360
67,Emissions bill clears a big hurdle; Controversial climate change measure is approved by the Assembly amid heavy pressure by lobbyists.,"Megerian, Chris; Mason, Melanie; Dillon, Liam","Los Angeles Times; Los Angeles, Calif.","Aug 24, 2016","Los Angeles, Calif.",NA,California; Part B; Local Desk,https://www.proquest.com/newspapers/emissions-bill-clears-big-hurdle-controversial/docview/1813502972/se-2?accountid=13360
68,"TRAIL GUIDE; Ad spending gets serious; Pronouncing 'Nevada,' a national split on climate change, and more","Lee, Kurtis; Mascaro, Lisa; Finnegan, Michael; Rushton, Christine","Los Angeles Times; Los Angeles, Calif.","Oct 8, 2016","Los Angeles, Calif.",NA,Main News; Part A; National Desk,https://www.proquest.com/newspapers/trail-guide-ad-spending-gets-serious-pronouncing/docview/1826845233/se-2?accountid=13360
69,"How the U.S. proposes to reduce emissions and limit climate change; The strategies include fossil fuel cutbacks, renewable energy and carbon sequestration.","Yardley, William","Los Angeles Times; Los Angeles, Calif.","Nov 17, 2016","Los Angeles, Calif.",NA,Main News; Part A; Foreign Desk,https://www.proquest.com/newspapers/how-u-s-proposes-reduce-emissions-limit-climate/docview/1840606485/se-2?accountid=13360
70,Oyster die-off may be tied to climate change,"Greene, Sean","Los Angeles Times; Los Angeles, Calif.","Dec 18, 2016","Los Angeles, Calif.",NA,California; Part B; Science Desk,https://www.proquest.com/newspapers/oyster-die-off-may-be-tied-climate-change/docview/1849820288/se-2?accountid=13360
71,"Trump's moves are 'irrelevant' to California; Acting on its own on climate change, the state is ahead of the game. There is anxiety among some firms.","Megerian, Chris","Los Angeles Times; Los Angeles, Calif.","Mar 29, 2017","Los Angeles, Calif.",NA,Main News; Part A; National Desk,https://www.proquest.com/newspapers/trumps-moves-are-irrelevant-california-acting-on/docview/1881641811/se-2?accountid=13360
72,"CANNES FILM FESTIVAL; It's Al Gore, the sequel; Undaunted by Trump, he has hope regarding climate change in a new documentary.","Turan, Kenneth","Los Angeles Times; Los Angeles, Calif.","May 24, 2017","Los Angeles, Calif.",NA,Calendar; Part E; Entertainment Desk,https://www.proquest.com/newspapers/cannes-film-festival-al-gore-sequel-undaunted/docview/1901582043/se-2?accountid=13360
73,THE NATION; Toxic waste vs. climate change; Will EPA consider the science as it focuses on Superfund sites?,"Yardley, William","Los Angeles Times; Los Angeles, Calif.","Jun 14, 2017","Los Angeles, Calif.",NA,Main News; Part A; National Desk,https://www.proquest.com/newspapers/nation-toxic-waste-vs-climate-change-will-epa/docview/1909090860/se-2?accountid=13360
74,ENVIRONMENTAL WATCH; Gore praises Brown's work in climate change activism; Former vice president lauds cap-and-trade program at a forum in San Francisco.,"Megerian, Chris","Los Angeles Times; Los Angeles, Calif.","Jul 25, 2017","Los Angeles, Calif.",NA,California; Part B; Local Desk,https://www.proquest.com/newspapers/environmental-watch-gore-praises-browns-work/docview/1922787141/se-2?accountid=13360
75,"Harvey's lessons for Trump; Heed the experts, Mr. President, on the link between climate change and the disaster in Texas.",NA,"Los Angeles Times; Los Angeles, Calif.","Aug 30, 2017","Los Angeles, Calif.",NA,Main News; Part A; Editorial Desk,https://www.proquest.com/newspapers/harveys-lessons-trump-heed-experts-mr-president/docview/1933399967/se-2?accountid=13360
76,"The deadly fires up north; Like the hurricanes before them, the raging blazes should send a dire message about climate change.",NA,"Los Angeles Times; Los Angeles, Calif.","Oct 12, 2017","Los Angeles, Calif.",NA,Main News; Part A; Editorial Desk,https://www.proquest.com/newspapers/deadly-fires-up-north-like-hurricanes-before-them/docview/1949878582/se-2?accountid=13360
77,THE YEAR IN REVIEW; BUILDING TYPE; WHAT'S NOW NORMAL; Floods and wildfires affect more people as climate change worsens and we build in disaster-prone areas,"Hawthorne, Christopher","Los Angeles Times; Los Angeles, Calif.","Dec 17, 2017","Los Angeles, Calif.",NA,Sunday Calendar; Part F; Calendar Desk,https://www.proquest.com/newspapers/year-review-building-type-whats-now-normal-floods/docview/1977621349/se-2?accountid=13360
78,STUDY: SPECIES WILL COMPETE MORE: RESEARCHER ANALYZES CLIMATE CHANGE'S EFFECTS; UNIVERSITY OF CONNECTICUT,"Weir, William","Hartford Courant; Hartford, Conn.","Jan 4, 2012","Hartford, Conn.",B.8,CTNOW,https://www.proquest.com/newspapers/study-species-will-compete-more/docview/914414207/se-2?accountid=13360
79,PURA OKS ENERGY CREDITS: RENEWABLE ENERGY PROGRAM,"PODSADA, JANICE","Hartford Courant; Hartford, Conn.","Apr 5, 2012","Hartford, Conn.",A.9,MAIN (A),https://www.proquest.com/newspapers/pura-oks-energy-credits/docview/969122052/se-2?accountid=13360
